TIME,LABEL,Structure,Type
7.070476190,Hellohello,Speech,D
12.643265306,SortSections,,
99.178231293,Notes,Prep,0
110.288979592,Notes2,,
118.491428571,Pause,,
124.795646259,TempoCheck,,
132.876190476,V1.1,V1.1,M
138.222585034,V1.2,V1.2,
144.143673469,V1.3,V1.3,
156.699863946,V1.4,V1.4,
162.917006803,V1.5,V1.5,
168.803265306,V1.6,V1.6,
180.471292517,V1.Rest,,
182.700408163,V2.1,V2.1,
184.180680272,V2.1a,,
189.614149660,V2.2,V2.2,
197.102585034,V2.3,V2.3,
212.776054422,V2.4,V2.4,
220.560544218,V2.5,V2.5,
227.474285714,V2.6,V2.6,
240.326530612,V2.Rest,,
241.650068027,V3.1,V3.1,
249.573877551,V3.2,V3.2,
257.933061224,V3.3,V3.3,
274.181224490,V3.4,V3.4,
282.279183673,V3.5,V3.5,
289.541224490,V3.6,V3.6,
304.500680272,V3.Rest,,
305.441088435,Cheers,Cheers,A
307.931428571,Instructions,Speech,D
318.972517007,Notes,,
326.669931973,Pause,,
332.643265306,TempoCheck,,
335.481904762,BeatTempo,,
337.850340136,D1.1,D1.1,M
343.440544218,D1.2,D1.2,
349.675102041,D1.3,D1.3,
356.432108844,D1.4,D1.4,
364.112108844,D1.Rest,,
365.696870748,D2.1,D2.1,
373.080816327,D2.2,D2.2,
380.656326531,D2.3,D2.3,
388.179591837,D2.4,D2.4,
396.678095238,D2.Rest,,
397.810068027,D3.1,D3.1,
405.751292517,D3.2,D3.2,
413.466122449,D3.3,D3.3,
421.477006803,D3.4,D3.4,
431.925986395,Cheers,Cheers,A
435.722448980,Chatter,Chatter,0